Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Senegal,2017,All ages,Both,Other non-communicable diseases,High body-mass index,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,High body-mass index,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Low bone mineral density,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Low bone mineral density,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Low bone mineral density,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in fruits,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in fruits,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in fruits,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in vegetables,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in vegetables,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in vegetables,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in whole grains,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in whole grains,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in whole grains,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in nuts and seeds,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in nuts and seeds,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in nuts and seeds,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in milk,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in milk,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in milk,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in red meat,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in red meat,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in red meat,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in processed meat,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in processed meat,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in processed meat,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in sugar-sweetened beverages,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in sugar-sweetened beverages,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in sugar-sweetened beverages,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in fiber,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in fiber,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in fiber,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in seafood omega-3 fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in seafood omega-3 fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in seafood omega-3 fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in polyunsaturated fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in polyunsaturated fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in polyunsaturated fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in trans fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in trans fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in trans fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in sodium,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in sodium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet high in sodium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Low physical activity,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Low physical activity,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Low physical activity,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational asthmagens,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational asthmagens,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational asthmagens,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,"Occupational particulate matter, gases, and fumes",DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,"Occupational particulate matter, gases, and fumes",Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,"Occupational particulate matter, gases, and fumes","DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational noise,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational noise,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational noise,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational injuries,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational injuries,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational injuries,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational ergonomic factors,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational ergonomic factors,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational ergonomic factors,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Childhood sexual abuse,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Childhood sexual abuse,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Childhood sexual abuse,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Intimate partner violence,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Intimate partner violence,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Intimate partner violence,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Non-exclusive breastfeeding,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Non-exclusive breastfeeding,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Non-exclusive breastfeeding,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Discontinued breastfeeding,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Discontinued breastfeeding,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Discontinued breastfeeding,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in calcium,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in calcium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in calcium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to asbestos,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to asbestos,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to asbestos,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to arsenic,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to arsenic,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to arsenic,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to benzene,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to benzene,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to benzene,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to beryllium,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to beryllium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to beryllium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to cadmium,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to cadmium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to cadmium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to chromium,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to chromium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to chromium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to diesel engine exhaust,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to diesel engine exhaust,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to diesel engine exhaust,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to formaldehyde,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to formaldehyde,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to formaldehyde,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to nickel,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to nickel,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to nickel,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to polycyclic aromatic hydrocarbons,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to polycyclic aromatic hydrocarbons,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to polycyclic aromatic hydrocarbons,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to silica,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to silica,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to silica,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to sulfuric acid,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to sulfuric acid,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to sulfuric acid,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Unsafe sex,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Unsafe sex,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Unsafe sex,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to trichloroethylene,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to trichloroethylene,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Occupational exposure to trichloroethylene,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,No access to handwashing facility,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,No access to handwashing facility,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,No access to handwashing facility,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Child wasting,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Child wasting,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Child wasting,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Child stunting,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Child stunting,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Child stunting,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Chewing tobacco,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Chewing tobacco,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Chewing tobacco,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in legumes,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in legumes,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Diet low in legumes,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Short gestation for birth weight,DALYs,1141.190325,270.4926325,2466.294333
Senegal,2017,All ages,Both,Other non-communicable diseases,Short gestation for birth weight,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Short gestation for birth weight,"DALYs per 100,000",7.769524057,1.841585027,16.79118087
Senegal,2017,All ages,Both,Other non-communicable diseases,Low birth weight for gestation,DALYs,245.8754795,56.55796249,561.9138199
Senegal,2017,All ages,Both,Other non-communicable diseases,Low birth weight for gestation,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Low birth weight for gestation,"DALYs per 100,000",1.673984971,0.385061493,3.825657164
Senegal,2017,All ages,Both,Other non-communicable diseases,Impaired kidney function,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Impaired kidney function,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Impaired kidney function,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Bullying victimization,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,Bullying victimization,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,Bullying victimization,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,High LDL cholesterol,DALYs,0,0,0
Senegal,2017,All ages,Both,Other non-communicable diseases,High LDL cholesterol,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Other non-communicable diseases,High LDL cholesterol,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Unsafe water source,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Unsafe water source,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Unsafe water source,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Unsafe sanitation,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Unsafe sanitation,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Unsafe sanitation,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Ambient particulate matter pollution,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Ambient particulate matter pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Ambient particulate matter pollution,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Household air pollution from solid fuels,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Household air pollution from solid fuels,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Household air pollution from solid fuels,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Ambient ozone pollution,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Ambient ozone pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Ambient ozone pollution,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Residential radon,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Residential radon,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Residential radon,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Lead exposure,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Lead exposure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Lead exposure,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Child underweight,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Child underweight,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Child underweight,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Iron deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Iron deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Iron deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Vitamin A deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Vitamin A deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Vitamin A deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Zinc deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Zinc deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Zinc deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Smoking,DALYs,5582.851166,3343.732433,8319.460937
Senegal,2017,All ages,Both,Musculoskeletal disorders,Smoking,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Smoking,"DALYs per 100,000",38.00951997,22.76501037,56.64107948
Senegal,2017,All ages,Both,Musculoskeletal disorders,Secondhand smoke,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Secondhand smoke,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Secondhand smoke,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Alcohol use,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Alcohol use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Alcohol use,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Drug use,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Drug use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Drug use,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,High fasting plasma glucose,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,High fasting plasma glucose,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,High fasting plasma glucose,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,High systolic blood pressure,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,High systolic blood pressure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,High systolic blood pressure,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,High body-mass index,DALYs,5165.675432,2515.142432,8699.796823
Senegal,2017,All ages,Both,Musculoskeletal disorders,High body-mass index,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,High body-mass index,"DALYs per 100,000",35.16927778,17.12375158,59.23050628
Senegal,2017,All ages,Both,Musculoskeletal disorders,Low bone mineral density,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Low bone mineral density,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Low bone mineral density,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in fruits,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in fruits,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in fruits,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in vegetables,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in vegetables,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in vegetables,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in whole grains,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in whole grains,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in whole grains,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in nuts and seeds,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in nuts and seeds,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in nuts and seeds,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in milk,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in milk,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in milk,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in red meat,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in red meat,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in red meat,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in processed meat,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in processed meat,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in processed meat,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in sugar-sweetened beverages,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in sugar-sweetened beverages,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in sugar-sweetened beverages,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in fiber,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in fiber,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in fiber,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in seafood omega-3 fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in seafood omega-3 fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in seafood omega-3 fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in polyunsaturated fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in polyunsaturated fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet low in polyunsaturated fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in trans fatty acids,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in trans fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in trans fatty acids,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in sodium,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in sodium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Diet high in sodium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Low physical activity,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Low physical activity,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Low physical activity,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational asthmagens,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational asthmagens,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational asthmagens,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,"Occupational particulate matter, gases, and fumes",DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,"Occupational particulate matter, gases, and fumes",Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,"Occupational particulate matter, gases, and fumes","DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational noise,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational noise,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational noise,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational injuries,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational injuries,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational injuries,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational ergonomic factors,DALYs,28596.02186,19950.71604,38735.57667
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational ergonomic factors,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Occupational ergonomic factors,"DALYs per 100,000",194.6892424,135.8297252,263.7219999
Senegal,2017,All ages,Both,Musculoskeletal disorders,Childhood sexual abuse,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Childhood sexual abuse,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Childhood sexual abuse,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Intimate partner violence,DALYs,0,0,0
Senegal,2017,All ages,Both,Musculoskeletal disorders,Intimate partner violence,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Musculoskeletal disorders,Intimate partner violence,"DALYs per 100,000",0,0,0
